"companies_name"
"21 Air"
"247 Aviation"
"2Excel Aviation"
"30 West Jets"
"4Airways"
"748 Air Services"
"748 Air Services"
"7Air Cargo"
"9 Air"
"Abakan Air"
"Abu Dhabi Aviation"
"ABX Air"
"ACASS Ireland"
"Advanced Air"
"Advanced Flight Training"
"Aegean Airlines"
"Aegean Executive"
"Aer Lingus"
"AerCaribe Cargo"
"Aero"
"Aero"
"Aero Asahi"
"Aero Charter"
"Aero Charter and Transport"
"Aero Clube de Coimbra"
"Aero Coatl Mexicano"
"Aero Dili"
"Aero K"
"Aero Mongolia"
"Aero Nomad"
"Aero Sotravia"
"Aero Tak"
"Aero Ways"
"Aero-Beta Flight Training"
"Aero-Dienst"
"Aero-Tech Services"
"Aeroclub Barcelona-Sabadell"
"Aerodynamics Academy"
"Aeroflot"
"AeroGuard Flight Training Center"
"Aeroitalia"
"Aerolineas Argentinas"
"Aerolineas Ejecutivas"
"Aerolineas Sosa"
"AeroLogic"
"Aeromas"
"Aeromexico"
"Aeromexico Connect"
"Aeronaves TSM"
"Aeropapa"
"Aeropartner"
"Aeropyrenees"
"Aeroregional"
"Aerosafin"
"Aeroservicios de la Costa"
"Aerostan"
"Aerosucre"
"Aerotec"
"Aerotours"
"Aerotranscargo"
"Aeroturpial"
"Aerovias DAP"
"Aerovis Airlines"
"Aeroways"
"Aerowest"
"Aerus"
"Africa Airlines"
"Africa Charter Airline"
"Africa World Airlines"
"African Express Airways"
"Afrijet"
"Afriqiyah Airways"
"Aims Community College Aviation"
"Air 1st Aviation"
"Air Adelphi"
"Air Albania"
"Air Algerie"
"Air Alliance"
"Air Alsie"
"Air Antilles"
"Air Arabia"
"Air Astana"
"Air Astra"
"Air Atlanta Icelandic"
"Air Austral"
"Air Baltic"
"Air Bohemia"
"Air Borealis"
"Air Botswana"
"Air Burkina"
"Air Busan"
"Air Cairo"
"Air Caledonie"
"Air Cambodia"
"Air Canada"
"Air Canada Rouge"
"Air Caraibes"
"Air Care Alliance"
"Air Cargo Carriers"
"Air Central"
"Air Century"
"Air Changan"
"Air Charter Scotland"
"Air Charter Scotland Europe"
"Air Charters Europe"
"Air Chathams"
"Air China"
"Air China Cargo"
"Air China Inner Mongolia"
"Air Class"
"Air Corporate"
"Air Corsica"
"Air Côte d'Ivoire"
"Air Creebec"
"Air Do"
"Air Dolomiti"
